Public ID,Gene,Gene description,sch9/wt,ras2/wt,tor1/wt,,,
YDR423C,CAD1,"AP-1-like bZIP transcriptional activator involved in multiple stress responses, iron metabolism, and pleiotropic drug resistance, controls a set of genes involved in stabilizing proteins, binds consensus sequence TTACTAA, 5 UTR contains uORFs",-0.7577,-1.0026,-0.4113,,,
YDR424C,CAD1  DYN2,"AP-1-like bZIP transcriptional activator involved in multiple stress responses, iron metabolism, and pleiotropic drug resistance, controls a set of genes involved in stabilizing proteins, binds consensus sequence TTACTAA, 5 UTR contains uORFs  Cytoplasmic light chain dynein, microtubule motor protein",-0.0996,-0.3076,0.4137,,,
YDR425W,SNX41,"Sorting nexin, involved in the retrieval of late-Golgi SNAREs from the post-Golgi endosome to the trans-Golgi network, forms a complex with Snx4p and Atg20p",-0.0575,-0.6093,0.0309,,,
YDR427W,RPN9,"Non-ATPase regulatory subunit of the 26S proteasome, has similarity to putative proteasomal subunits in other species, null mutant is temperature sensitive and exhibits cell cycle and proteasome assembly defects",-0.2476,-0.8012,-0.3049,,,
YDR428C,---,Hypothetical protein,0.2385,0.7666,0.4707,,,
YDR429C,TIF35,"Subunit of the core complex of translation initiation factor 3(eIF3), which is essential for translation",-0.4359,-0.6136,-0.2633,,,
YDR430C,CYM1,"Lysine-specific metalloprotease of the mitochondrial intermembrane space, member of the pitrilysin family, degrades proteins and presequence peptides cleaved from imported proteins, required for normal mitochondrial morphology",-0.3240,-0.2725,-0.4317,,,
YDR432W,NPL3,"RNA-binding protein that carries poly(A)+ mRNA from the nucleus into the cytoplasm, phosphorylation by Sky1p in the cytoplasm may promote release of mRNAs",-0.2893,-0.2993,-0.4492,,,
YDR434W,GPI17,"Transmembrane protein subunit of the glycosylphosphatidylinositol transamidase complex that adds GPIs to newly synthesized proteins, human PIG-Sp homolog",0.1928,0.1929,-0.2085,,,
YDR435C,PPM1,"Carboxyl methyl transferase, methylates the C terminus of the protein phosphatase 2A catalytic subunit (Pph21p or Pph22p), which is important for complex formation with regulatory subunits",-0.1708,-0.1470,0.0847,,,
YDR436W,PPZ2,"Serinethreonine protein phosphatase Z, isoform of Ppz1p, involved in regulation of potassium transport, which affects osmotic stability, cell cycle progression, and halotolerance",0.3414,0.6323,0.4358,,,
YDR437W,---,"Subunit of GPI-GlcNAc transferase involved in synthesis of N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI), which is the first intermediate in glycosylphosphatidylinositol (GPI) anchor synthesis, shares similarity with mammalian PIG-P",-0.0112,0.5268,0.0100,,,
YDR438W,---,Hypothetical protein,-0.4011,0.3921,-0.1955,,,
YDR439W,LRS4,"Protein involved in rDNA silencing, positively charged coiled-coil protein with limited similarity to myosin",-0.1156,-0.3615,-0.0607,,,
YDR440W,DOT1,"Nucleosomal histone H3-Lys79 methylase, associates with transcriptionally active genes, functions in gene silencing at telomeres, most likely by directly modulating chromatin structure and Sir protein localization",-0.0148,-0.3356,-0.1150,,,
YDR441C,APT2,"Apparent pseudogene, not transcribed or translated under normal conditions, encodes a protein with similarity to adenine phosphoribosyltransferase, but artificially expressed protein exhibits no enzymatic activity",0.0635,0.2600,0.0788,,,
YDR443C,SSN2,"Required for stable association of Srb10p-Srb11p kinase with RNA polymerase holoenzyme, regulates YGP1 epxression, component of RNA polymerase II holoenzyme and Kornbergs mediator (SRB) subcomplex, transcription factor",0.0857,0.5066,0.1487,,,
YDR444W,---,Hypothetical protein,-1.2305,-1.2988,-0.9670,,,
YDR446W,ECM11,"Non-essential protein of unknown function, GFP fusion protein is present in discrete clusters in the nucleus throughout mitosis, may be involved in maintaining chromatin structure",-0.2149,-0.2775,-0.1650,,,
YDR447C,RPS17A  RPS17B,"Ribosomal protein 51 (rp51) of the small (40s) subunit, nearly identical to Rps17Bp and has similarity to rat S17 ribosomal protein  Ribosomal protein 51 (rp51) of the small (40s) subunit, nearly identical to Rps17Ap and has similarity to rat S17 ribosomal protein",0.4555,0.0853,0.5175,,,
YDR448W,ADA2,"Transcription coactivator, component of the ADA and SAGA transcriptional adaptorHAT (histone acetyltransferase) complexes",-0.1832,-0.3406,-0.4851,,,
YDR449C,UTP6,"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA",-0.0546,-0.0196,-0.4923,,,
YDR450W,RPS18B  RPS18A,"Protein component of the small (40S) ribosomal subunit, nearly identical to Rps18Ap and has similarity to E. coli S13 and rat S18 ribosomal proteins  Protein component of the small (40S) ribosomal subunit, nearly identical to Rps18Bp and has similarity to E. coli S13 and rat S18 ribosomal proteins",0.0995,-0.2153,0.1941,,,
YDR451C,YHP1,"One of two homeobox transcriptional repressors (see also Yox1p), that bind to Mcm1p and to early cell cycle box (ECB) elements of cell cycle regulated genes, thereby restricting ECB-mediated transcription to the MG1 interval",-0.4284,-0.2497,0.0563,,,
YDR452W,PPN1,"Vacuolar endopolyphosphatase with a role in phosphate metabolism, functions as a homodimer",0.1755,-0.2906,0.1082,,,
YDR453C,TSA2,"Stress inducible cytoplasmic thioredoxin peroxidase, cooperates with Tsa1p in the removal of reactive oxygen, nitrogen and sulfur species using thioredoxin as hydrogen donor, deletion enhances the mutator phenotype of tsa1 mutants ",-0.1600,0.8861,0.2915,,,
YDR454C,GUK1,"Guanylate kinase, converts GMP to GDP, required for growth and mannose outer chain elongation of cell wall N-linked glycoproteins",-0.2675,-0.1898,0.0353,,,
YDR456W,NHX1,"Endosomal Na+H+ exchanger, required for intracellular sequestration of Na+, required for osmotolerance to acute hypertonic shock",-0.0683,0.2259,0.0203,,,
YDR457W,TOM1,"Temperature dependent Organization in Mitotic nucleus, hect-domain-containing protein, containing kinase motifs, similar to Rsp5",0.0724,-0.0816,0.0842,,,
YDR458C,---,"Protein of unknown function, green fluorescent protein (GFP)-fusion protein localizes to the nuclear periphery",0.4888,0.3687,0.3743,,,
YDR459C,---,likely functions in pathway(s) outside Ras,0.1554,0.4016,-0.0168,,,
YDR460W,TFB3,"Subunit of TFIIH and nucleotide excision repair factor 3 complexes, involved in transcription initiation, required for nucleotide excision repair, ring finger protein similar to mammalian CAK and TFIIH subunit",-0.1869,-0.7287,-0.0004,,,
YDR461W,MFA1,"Mating pheromone a-factor, made by a cells, interacts with alpha cells to induce cell cycle arrest and other responses leading to mating, biogenesis involves C-terminal modification, N-terminal proteolysis, and export, also encoded by MFA2",0.2094,0.2228,0.5541,,,
YDR462W,MRPL28,Mitochondrial ribosomal protein of the large subunit,-0.5735,-1.1146,-0.4213,,,
YDR463W,STP1,"Transcription factor, activated by proteolytic processing in response to signals from the SPS sensor system for external amino acids, activates transcription of amino acid permease genes and may have a role in tRNA processing",-0.2152,-0.8093,-0.2331,,,
YDR464W,SPP41,"appears to control expression of spliceosome components PRP4 and PRP3, negative regulator of prp genes",-0.5740,-1.2991,-0.8066,,,
YDR465C,RMT2,"Arginine methyltransferase, ribosomal protein L12 is a substrate",0.1246,-0.0791,0.0047,,,
YDR466W,PKH3,"Protein kinase with similarity to mammalian phosphoinositide-dependent kinase 1 (PDK1) and yeast Pkh1p and Pkh2p, two redundant upstream activators of Pkc1p, identified as a multicopy suppressor of a pkh1 pkh2 double mutant",0.2387,-0.2328,0.0655,,,
YDR468C,TLG1,"Essential t-SNARE that forms a complex with Tlg2p and Vti1p and mediates fusion of endosome-derived vesicles with the late Golgi, binds the docking complex VFT (Vps fifty-three) through interaction with Vps51p",-0.5682,-1.0623,-0.4236,,,
YDR469W,SDC1,"Subunit of the COMPASS (Set1C) complex, which methylates Rad6p ubiquitinated histone H3 on lysine 4 and is required in transcriptional silencing near telomeres, has similarity to C. elegans Dpy-30",-0.4576,-1.1873,-0.1877,,,
YDR470C,UGO1,"Protein of unknown function, outer membrane component of the mitochondrial fusion machinery, Ugo1p bind directly to Fzo1p and Mgm1p and thereby link these two GTPases during mitochondrial fusion",0.7490,0.7290,0.4692,,,
YDR471W,RPL27B,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl27Ap and has similarity to rat L27 ribosomal protein",1.0587,0.6777,1.0313,,,
YDR472W,TRS31,"One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion, involved in endoplasmic reticulum (ER) to Golgi membrane traffic",0.6108,1.0608,0.8279,,,
YDR473C,PRP3,"Splicing factor, component of the U4U6-U5 snRNP complex",-0.2062,-0.8606,-0.2728,,,
YDR475C,---,"Protein of unknown function, previously annotated as two separate ORFs, YDR474C and YDR475C, which were merged as a result of corrections to the systematic reference sequence",0.3971,0.4001,0.1535,,,
YDR476C,---,Hypothetical protein,0.7620,0.8780,0.8289,,,
YDR477W,SNF1,"AMP-activated serinethreonine protein kinase found in a complex containing Snf4p and members of the Sip1pSip2pGal83p family, required for transcription of glucose-repressed genes, thermotolerance, sporulation, and peroxisome biogenesis",0.3976,-0.0085,0.0386,,,
YDR478W,SNM1,"Subunit of RNase MRP, which cleaves pre-rRNA, not shared between Rnase MRP and nuclear Rnase P, in contrast to all other Rnase MRP protein subunits, binds to the NME1 RNA subunit of Rnase MRP",-0.6882,-0.7810,-0.3943,,,
YDR479C,PEX29,"Peroxisomal integral membrane protein, involved in regulation of peroxisome size and number, genetic interactions suggest that Pex28p and Pex29p act at steps upstream of those mediated by Pex30p, Pex31p, and Pex32p",0.6128,0.6577,0.4878,,,
YDR480W,DIG2,"Regulatory protein of unknown function, pheromone-inducible, involved in the regulation of mating-specific genes and the invasive growth pathway, required for MAP-kinase imposed repression, inhibits pheromone-responsive transcription",0.3448,-0.0919,0.2375,,,
YDR481C,PHO8,"Repressible alkaline phosphatase, a glycoprotein localized to the vacuole, regulated by levels of inorganic phosphate and by a system consisting of Pho4p, Pho9p, Pho80p, Pho81p and Pho85p, dephosphorylates phosphotyrosyl peptides",0.0090,-0.3061,-0.1049,,,
YDR482C,CWC21,"Component of a complex containing Cef1p, putatively involved in pre-mRNA splicing, may bind RNA, has similarity to S. pombe Cwf21p",0.3642,-0.2653,0.1446,,,
YDR483W,KRE2,"Alpha1,2-mannosyltransferase of the Golgi involved in protein mannosylation",0.1449,0.1146,0.0343,,,
YDR484W,VPS52,"Component of the GARP (Golgi-associated retrograde protein) complex, Vps51p-Vps52p-Vps53p-Vps54p, which is required for the recycling of proteins from endosomes to the late Golgi, involved in localization of actin and chitin",0.1137,-0.4992,0.0071,,,
YDR485C,VPS72,"Protein of unknown function, component of the Swr1p complex that incorporates Htz1p into chromatin, required for vacuolar protein sorting",-0.2416,-0.6510,-0.3182,,,
YDR486C,VPS60,"Cytoplasmic and vacuolar membrane protein involved in late endosome to vacuole transport, required for normal filament maturation during pseudohyphal growth, may function in targeting specific cargo proteins for degradation",-0.2269,-0.4252,0.1351,,,
YDR487C,RIB3,"3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase), required for riboflavin biosynthesis from ribulose-5-phosphate, also has an unrelated function in mitochondrial respiration",-0.0906,-0.0987,-0.2714,,,
YDR488C,PAC11,"Dynein intermediate chain, acts in the cytoplasmic dynein pathway, forms cortical cytoplasmic microtubule capture site with Num1p, null mutant is defective in nuclear migration, essential in the absence of CIN8",-0.0946,0.5152,0.1000,,,
YDR489W,SLD5,"Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which binds to DNA replication origins and facilitates assembly of the DNA replication machinery",0.6342,1.1285,0.7986,,,
YDR490C,PKH1,"Serinethreonine protein kinase involved in sphingolipid-mediated signaling pathway that controls endocytosis, activates Ypk1p and Ykr2p, components of signaling cascade required for maintenance of cell wall integrity, redundant with Pkh2p",-0.0174,-0.4046,-0.0482,,,
YDR492W,IZH1,"Membrane protein involved in zinc metabolism, member of the four-protein IZH family, transcription is regulated directly by Zap1p, expression induced by zinc deficiency and fatty acids, deletion increases sensitivity to elevated zinc",0.4558,0.7030,0.5339,,,
YDR493W,---,"The authentic, non-tagged protein was localized to the mitochondria",-0.4660,-0.6207,-0.3201,,,
YDR494W,RSM28,"Mitochondrial ribosomal protein of the small subunit, genetic interactions suggest a possible role in promoting translation initiation",-1.0230,-1.3666,-0.7057,,,
YDR495C,VPS3,"Cytoplasmic protein required for the sorting and processing of soluble vacuolar proteins, acidification of the vacuolar lumen, and assembly of the vacuolar H+-ATPase",-0.6672,-0.9655,-0.5749,,,
YDR496C,PUF6,"Pumilio-homology domain protein that binds ASH1 mRNA at PUF consensus sequences in the 3 UTR and represses its translation, resulting in proper asymmetric localization of ASH1 mRNA",-0.2259,-0.3641,-0.3629,,,
YDR497C,ITR1,"Myo-inositol transporter with strong similarity to the minor myo-inositol transporter Itr2p, member of the sugar transporter superfamily, expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p ",-1.2279,-0.6776,-0.4813,,,
YDR498C,SEC20,"Membrane glycoprotein v-SNARE involved in retrograde transport from the Golgi to the ER, required for N- and O-glycosylation in the Golgi but not in the ER, forms a complex with the cytosolic Tip20p",0.2919,0.4197,0.3473,,,
YDR499W,LCD1,"Essential protein required for the DNA integrity checkpoint pathways, interacts physically with Mec1p, putative homolog of S. pombe Rad26 and human ATRIP",-0.1537,-0.4322,-0.1444,,,
YDR500C,RPL37B,"Protein component of the large (60S) ribosomal subunit, has similarity to Rpl37Ap and to rat L37 ribosomal protein",0.3359,0.2164,0.3948,,,
YDR501W,PLM2,Protein required for partitioning of the 2-micron plasmid,0.3216,0.0380,0.5100,,,
YDR502C,SAM2,"S-adenosylmethionine synthetase, catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine, one of two differentially regulated isozymes (Sam1p and Sam2p)",-1.2426,-0.1219,-0.1433,,,
YDR503C,LPP1,"Lipid phosphate phosphatase, catalyzes Mg(2+)-independent dephosphorylation of phosphatidic acid (PA), lysophosphatidic acid, and diacylglycerol pyrophosphate, involved in control of the cellular levels of phosphatidylinositol and PA",0.0325,0.4993,0.0563,,,
YDR504C,SPG3,"Protein required for survival at high temperature during stationary phase, not required for growth on nonfermentable carbon sources",-0.1264,-0.1294,-0.2137,,,
YDR505C,PSP1,"Asn and gln rich protein of unknown function, high-copy suppressor of POL1 (DNA polymerase alpha) and partial suppressor of CDC2 (polymerase delta) and CDC6 (pre-RC loading factor) mutations, overexpression results in growth inhibition",-0.1542,-0.2718,-0.3562,,,
YDR506C,---,Hypothetical protein,0.3593,0.7822,0.4595,,,
YDR507C,GIN4,"Protein kinase involved in bud growth and assembly of the septin ring, proposed to have kinase-dependent and kinase-independent activities, undergoes autophosphorylation, similar to Kcc4p and Hsl1p",-1.6827,-1.5852,-1.3427,,,
YDR508C,GNP1,"High-affinity glutamine permease, also transports Leu, Ser, Thr, Cys, Met and Asn, expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids",-0.2209,0.3031,0.0446,,,
YDR510W,SMT3,"Ubiquitin-like protein of the SUMO family, conjugated to lysine residues of target proteins, regulates chromatid cohesion, chromosome segregation, APC-mediated proteolysis, DNA replication and septin ring dynamics",-0.3377,-0.6839,-0.1968,,,
YDR511W,ACN9,"Protein of the mitochondrial intermembrane space, required for acetate utilization and gluconeogenesis, has orthologs in higher eukaryotes",-0.3714,-0.2406,-0.2254,,,
YDR512C,EMI1,"Non-essential protein of unknown function required for transcriptional induction of the early meiotic-specific transcription factor IME1, also required for sporulation",0.1413,-0.0278,0.3727,,,
YDR513W,TTR1,"Cytoplasmic glutaredoxin, thioltransferase, glutathione-dependent disulfide oxidoreductase involved in maintaining redox state of target proteins, also exhibits glutathione peroxidase activity, expression induced in response to stress",0.4722,0.6269,0.4673,,,
YDR514C,---,Hypothetical protein,-0.6493,-0.8692,-0.6165,,,
YDR515W,SLF1,"RNA binding protein that associates with polysomes, proposed to be involved in regulating mRNA translation, involved in the copper-dependent mineralization of copper sulfide complexes on cell surface in cells cultured in copper salts",-0.9809,-1.0494,-0.8248,,,
YDR516C,EMI2,"Non-essential protein of unknown function required for transcriptional induction of the early meiotic-specific transcription factor IME1, also required for sporulation",-0.1275,0.4969,0.3241,,,
YDR517W,GRH1,"Golgi localized protein component of the spindle assembly checkpoint, homolog of human GRASP65, which functions in postmitotic reassembly of Golgi stacks",-0.3195,-0.1384,-0.0992,,,
YDR518W,EUG1,"Protein disulfide isomerase of the endoplasmic reticulum lumen, function overlaps with that of Pdi1p, may interact with nascent polypeptides in the ER",-0.3580,0.1757,0.1133,,,
YDR519W,FPR2,"Membrane-bound peptidyl-prolyl cis-trans isomerase (PPIase), binds to the drugs FK506 and rapamycin, expression pattern suggests possible involvement in ER protein trafficking",0.0277,0.5041,0.2902,,,
YDR520C,---,Hypothetical protein,-0.2352,0.1896,-0.1918,,,
YDR522C,SPS2,"Protein expressed during sporulation, redundant with Sps22p for organization of the beta-glucan layer of the spore wall, S. pombe ortholog is a spore wall component",-0.0506,0.2537,0.0104,,,
YDR523C,SPS1,"Putative protein serinethreonine kinase expressed at the end of meiosis and localized to the prospore membrane, required for correct localization of enzymes involved in spore wall synthesis",0.0091,-0.2308,-0.1046,,,
YDR524C,AGE1,"ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector, involved in the secretory and endocytic pathways, contains C2C2H2 cysteinehistidine motif",0.0960,-0.0969,-0.4327,,,
YDR524C-B,---,---,-0.0439,-0.1314,-0.1615,,,
YDR524W-A,---,Identified by SAGE,0.0577,0.0018,-0.2754,,,
YDR525W-A,SNA2,"Protein of unknown function, has similarity to Pmp3p, which is involved in cation transport, green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern",-0.0222,0.3430,0.0252,,,
YDR527W,RBA50,"Protein involved in transcription, interacts with RNA polymerase II subunits Rpb2p, Rpb3, and Rpb11p, has similarity to human RPAP1",-0.2113,-0.7041,-0.4653,,,
YDR528W,HLR1,"Protein involved in regulation of cell wall composition and integrity and response to osmotic stress, overproduction suppresses a lysis sensitive PKC mutation, similar to Lre1p, which functions antagonistically to protein kinase A",0.4301,0.3158,-0.1099,,,
YDR529C,QCR7,"Subunit 7 of the ubiquinol cytochrome-c reductase complex, which is a component of the mitochondrial inner membrane electron transport chain, oriented facing the mitochondrial matrix, N-terminus appears to play a role in complex assembly",-0.3247,-0.4505,-0.2944,,,
YDR530C,APA2,"Diadenosine 5,5-P1,P4-tetraphosphate phosphorylase II (AP4A phosphorylase), involved in catabolism of bis(5-nucleosidyl) tetraphosphates, has similarity to Apa1p",-0.2269,-0.0385,0.0860,,,
YDR531W,---,"Pantothenate kinase (ATP:D-pantothenate 4-phosphotransferase, EC 2.7.1.33) catalyzes the first committed step in the universal biosynthetic pathway leading to CoA.",0.1570,0.1527,0.1309,,,
YDR532C,---,"Protein of unknown function that localizes to the nuclear side of the spindle pole body and along short spindles, forms a complex with Spc105p",-0.6290,-0.9820,-0.0260,,,
YDR533C,HSP31,"Possible chaperone and cysteine protease with similarity to E. coli Hsp31 and S. cerevisiae Hsp32p, Hsp33p, and Sno4p, member of the DJ-1ThiJPfpI superfamily, which includes human DJ-1 involved in Parkinsons disease, exists as a dimer",-0.3665,0.6574,-0.0053,,,
YDR534C,FIT1,"Mannoprotein that is incorporated into the cell wall via a glycosylphosphatidylinositol (GPI) anchor, involved in the retention of siderophore-iron in the cell wall",-1.1406,-1.2011,-0.8181,,,
YDR536W,STL1,"Glycerol proton symporter of the plasma membrane, subject to glucose-induced inactivation, strongly but transiently induced when cells are subjected to osmotic shock",0.4196,0.5277,0.1703,,,
YDR538W,PAD1,"Phenylacrylic acid decarboxylase, confers resistance to cinnamic acid, decarboxylates aromatic carboxylic acids to the corresponding vinyl derivatives",0.2214,0.7996,0.2376,,,
YDR539W,---,Hypothetical protein,0.1629,0.3075,0.2349,,,
YDR540C,---,Hypothetical protein,-0.6253,-0.1884,-0.0409,,,
YDR541C,---,Hypothetical protein,0.6256,1.2578,0.6118,,,
YEL001C,---,Hypothetical protein,0.1822,0.5110,0.3352,,,
YEL002C,WBP1,"Beta subunit of the oligosaccharyl transferase (OST) glycoprotein complex, required for N-linked glycosylation of proteins in the endoplasmic reticulum",0.2793,0.5361,0.5367,,,
YEL003W,GIM4,Subunit of the heterohexameric cochaperone prefoldin complex which binds specifically to cytosolic chaperonin and transfers target proteins to it,-0.6839,-0.6763,0.0728,,,
YEL004W,YEA4,"Uridine diphosphate-N-acetylglucosamine (UDP-GlcNAc) transporter required for cell wall chitin synthesis, localized to the ER",0.7767,1.4701,0.9263,,,
YEL005C,VAB2,"Protein with a potential role in vacuolar function, as suggested by its ability to bind Vac8p, green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern",0.6350,0.2330,0.7009,,,
YEL006W,---,Hypothetical protein,0.0040,0.3439,0.0413,,,
YEL007W,---,Hypothetical protein,0.3635,0.6539,0.3273,,,
YEL009C,GCN4,"Transcriptional activator of amino acid biosynthetic genes in response to amino acid starvation, expression is tightly regulated at both the transcriptional and translational levels",-0.0910,-0.1179,-0.1446,,,
YEL011W,GLC3,"Glycogen branching enzyme, involved in glycogen accumulation, green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern",0.0333,0.0761,0.1465,,,
YEL012W,UBC8,"Ubiquitin-conjugating enzyme that negatively regulates gluconeogenesis by mediating the glucose-induced ubiquitination of fructose-1,6-bisphosphatase (FBPase), cytoplasmic enzyme that catalyzes the ubiquitination of histones in vitro",-0.5408,-0.8918,-0.3213,,,
YEL013W,VAC8,"Phosphorylated vacuolar membrane protein that interacts with Atg13p, required for the cytoplasm-to-vacuole targeting (Cvt) pathway, interacts with Nvj1p to form nucleus-vacuole junctions",0.2116,0.5528,0.1934,,,
YEL015W,EDC3,"Non-essential conserved protein of unknown function, plays a role in mRNA decapping by specifically affecting the function of the decapping enzyme Dcp1p, localizes to cytoplasmic mRNA processing bodies",-0.1618,-0.3716,-0.0384,,,
YEL016C,---,Hypothetical protein,-0.1139,-0.3043,-0.2494,,,
YEL017C-A,PMP2,"May regulate plasma membrane H(+)-ATPase, nearly identical to PMP1, Proteolipid associated with plasma membrane H(+)-ATPase (Pma1p)",0.1645,0.4122,0.0227,,,
YEL017W,GTT3,"Protein of unknown function with a possible role in glutathione metabolism, as suggested by computational analysis of large-scale protein-protein interaction data, GFP-fusion protein localizes to the nuclear periphery",0.2520,0.8686,0.4185,,,
YEL018W,EAF5,"Esa1p-associated factor, subunit of the NuA4 acetyltransferase complex",-0.2039,-0.9680,-0.1957,,,
YEL019C,MMS21,"SUMO ligase involved in chromosomal organization and DNA repair, forms a complex with Smc5p, Rhc18p, and Nse1p, mutants are sensitive to methyl methanesulfonate and show increased spontaneous mutation and mitotic recombination",0.1772,-0.1065,-0.0748,,,
YEL020C,---,Hypothetical protein,0.5856,0.4278,0.2524,,,
YEL020W-A,TIM9,Mitochondrial intermembrane space protein mediating import and insertion of polytopic inner membrane proteins,-1.2951,-1.6895,-0.9966,,,
YEL021W,URA3,"Orotidine-5-phosphate (OMP) decarboxylase, catalyzes the sixth enzymatic step in the de novo biosynthesis of pyrimidines, converting OMP into uridine monophosphate (UMP), converts 5-FOA into 5-fluorouracil, a toxic compound",2.2327,-0.4829,0.0975,,,
YEL022W,GEA2,"Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs), involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization, similar to but not functionally redundant with Gea1p",0.2114,-0.3289,0.4019,,,
YEL023C,---,Hypothetical protein,0.4845,0.1711,0.3952,,,
YEL024W,RIP1,"Ubiquinol-cytochrome-c reductase, a Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex, transfers electrons from ubiquinol to cytochrome c1 during respiration",-0.4550,-0.3453,-0.3932,,,
YEL025C,---,SWISNF and RSC interacting protein 1,0.0355,-0.3130,-0.0665,,,
YEL026W,SNU13,"RNA binding protein, part of U3 snoRNP involved in rRNA processing, part of U4U6-U5 tri-snRNP involved in mRNA splicing, similar to human 15.5K protein",0.2592,0.5546,0.1372,,,
YEL027W,CUP5,"Proteolipid subunit of the vacuolar H(+)-ATPase V0 sector (subunit c, dicyclohexylcarbodiimide binding subunit), required for vacuolar acidification and important for copper and iron metal ion homeostasis",0.2076,0.3367,0.2645,,,
YEL029C,BUD16,"Protein involved in bud-site selection, diploid mutants display a random budding pattern instead of the wild-type bipolar pattern, has similarity to pyridoxal kinases",0.3601,0.4731,-0.1114,,,
YEL030W,ECM10,"Heat shock protein of the Hsp70 family, localized in mitochondrial nucleoids, plays a role in protein translocation, interacts with Mge1p in an ATP-dependent manner, overexpression induces extensive mitochondrial DNA aggregations",0.7268,1.0199,0.4883,,,
YEL031W,SPF1,"P-type ATPase, ion transporter of the ER membrane involved in ER function and Ca2+ homeostasis, required for regulating Hmg2p degradation, confers sensitivity to a killer toxin (SMKT) produced by Pichia farinosa KK1",-0.1930,-0.0971,-0.1879,,,
YEL032W,MCM3,"Protein involved in DNA replication, component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex",0.6025,0.2384,0.2025,,,
YEL034W,HYP2,"Translation initiation factor eIF-5A, promotes formation of the first peptide bond, similar to and functionally redundant with Anb1p, undergoes an essential hypusination modification, expressed under aerobic conditions",0.3148,0.4189,0.2939,,,
YEL035C,UTR5,"Protein of unknown function, transcription may be regulated by Gcr1p",0.1213,0.2542,0.2203,,,
YEL036C,ANP1,"Subunit of the alpha-1,6 mannosyltransferase complex, type II membrane protein, has a role in retention of glycosyltransferases in the Golgi, involved in osmotic sensitivity and resistance to aminonitrophenyl propanediol",0.1584,-0.1322,-0.1467,,,
YEL037C,RAD23,"Protein with ubiquitin-like N terminus, recognizes and binds damaged DNA (with Rad4p) during nucleotide excision repair, regulates Rad4p levels, subunit of Nuclear Excision Repair Factor 2 (NEF2), homolog of human HR23A and HR23B proteins",-0.2909,-0.5212,-0.4233,,,
YEL038W,UTR4,"Protein of unknown function, found in both the cytoplasm and nucleus",-0.5378,0.0049,-0.4045,,,
YEL039C,CYC7,"Cytochrome c isoform 2, expressed under hypoxic conditions, electron carrier of the mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration",-1.2099,-0.2467,-0.1724,,,
YEL040W,UTR2,"Putative glycosidase, glycosylphosphatidylinositol (GPI)-anchored protein localized to the bud neck, has a role in cell wall maintenance",-0.4615,0.4117,0.3793,,,
YEL041W,---,Hypothetical protein,0.5743,0.0537,0.4066,,,
YEL042W,GDA1,"Guanosine diphosphatase located in the Golgi, involved in the transport of GDP-mannose into the Golgi lumen by converting GDP to GMP after mannose is transferred its substrate",-0.2183,-0.0982,-0.3047,,,
YEL043W,---,Hypothetical protein,0.1852,0.2191,0.0636,,,
YEL044W,IES6,Protein that associates with the INO80 chromatin remodeling complex under low-salt conditions,0.1227,-0.0875,-0.1394,,,
YEL046C,GLY1,"Threonine aldolase, catalyzes the cleavage of L-allo-threonine and L-threonine to glycine, involved in glycine biosynthesis",-0.0776,0.1062,-0.5126,,,
YEL047C,---,Fumurate ReDuctase Soluble,-0.2073,0.5254,0.3374,,,
YEL048C,---,Hypothetical protein,-0.0904,0.4684,-0.0515,,,
